T1 T2 T3 T4 T5 T6 T7 T8 T9 T10
1 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0
0 0 0 1 0.684539469731972 0.712443401109427 0.791500468276441 0.724835761472583 0 0
0 0 0 0.684539469731972 1 0.853658637614921 0.686637774232775 0.767705263104289 0 0
0 0 0 0.712443401109427 0.853658637614921 1 0.770324772633612 0.676633769502863 0 0
0 0 0 0.791500468276441 0.686637774232775 0.770324772633612 1 0.751751167332754 0 0
0 0 0 0.724835761472583 0.767705263104289 0.676633769502863 0.751751167332754 1 0 0
0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 1
